,neg_sent,neu_sent,pos_sent
872,0.012,0.867,0.121
873,0.009,0.818,0.173
874,0.024,0.816,0.161
875,0.023,0.834,0.143
876,0.029,0.876,0.095
877,0.012,0.874,0.113
878,0.016,0.85,0.134
879,0.026,0.836,0.138
880,0.022,0.81,0.168
881,0.015,0.816,0.169
882,0.016,0.853,0.131
883,0.034,0.808,0.158
884,0.025,0.835,0.14
885,0.013,0.821,0.166
886,0.022,0.836,0.142
887,0.017,0.836,0.147
888,0.02,0.847,0.133
889,0.017,0.868,0.115
890,0.025,0.839,0.136
891,0.019,0.828,0.153
892,0.014,0.819,0.166
893,0.017,0.836,0.147
894,0.017,0.804,0.179
895,0.027,0.873,0.1
896,0.023,0.856,0.122
897,0.021,0.854,0.126
898,0.013,0.837,0.151
899,0.025,0.855,0.12
900,0.02,0.826,0.155
901,0.019,0.879,0.102
902,0.03,0.861,0.109
903,0.019,0.831,0.15
904,0.02,0.827,0.153
905,0.021,0.808,0.171
906,0.034,0.805,0.161
907,0.017,0.853,0.131
908,0.006,0.853,0.141
909,0.02,0.808,0.172
910,0.013,0.839,0.149
911,0.014,0.823,0.163
912,0.019,0.82,0.161
913,0.026,0.832,0.141
914,0.019,0.836,0.145
915,0.017,0.823,0.16
916,0.024,0.838,0.138
917,0.02,0.854,0.126
918,0.012,0.799,0.19
919,0.025,0.844,0.13
920,0.022,0.857,0.121
921,0.016,0.833,0.151
922,0.025,0.847,0.128
923,0.026,0.832,0.141
924,0.026,0.826,0.148
925,0.024,0.873,0.102
926,0.015,0.801,0.185
927,0.031,0.816,0.152
928,0.021,0.851,0.128
929,0.014,0.833,0.153
930,0.037,0.873,0.09
931,0.022,0.853,0.125
932,0.012,0.82,0.169
933,0.03,0.835,0.135
934,0.021,0.844,0.135
935,0.007,0.844,0.149
936,0.017,0.841,0.142
937,0.032,0.859,0.11
938,0.033,0.813,0.154
939,0.028,0.858,0.114
940,0.013,0.817,0.17
941,0.018,0.861,0.121
942,0.009,0.87,0.122
943,0.033,0.823,0.144
944,0.012,0.831,0.157
945,0.021,0.839,0.14
946,0.014,0.864,0.122
947,0.029,0.827,0.143
948,0.013,0.816,0.171
949,0.017,0.85,0.133
950,0.032,0.814,0.154
951,0.019,0.86,0.121
952,0.02,0.839,0.141
953,0.022,0.845,0.133
954,0.023,0.822,0.154
955,0.028,0.803,0.169
956,0.017,0.855,0.128
957,0.011,0.814,0.174
958,0.024,0.855,0.121
959,0.025,0.823,0.151
960,0.023,0.852,0.125
961,0.025,0.84,0.135
962,0.018,0.814,0.168
963,0.012,0.849,0.139
