,Topic0,Topic1,Topic2,Topic3,dominant_topic,merge_col
Doc1511,0.96,0.01,0.02,0.01,0,1588
Doc1512,0.96,0.01,0.01,0.01,0,1589
Doc1513,0.96,0.01,0.01,0.01,0,1590
Doc1514,0.96,0.01,0.01,0.01,0,1592
Doc1515,0.02,0.02,0.94,0.02,2,1593
Doc1516,0.96,0.01,0.01,0.01,0,1595
Doc1517,0.05,0.01,0.92,0.01,2,1596
Doc1518,0.96,0.01,0.01,0.01,0,1600
Doc1519,0.94,0.02,0.02,0.02,0,1603
Doc1520,0.42,0.02,0.55,0.02,2,1604
Doc1521,0.96,0.01,0.01,0.01,0,1605
Doc1522,0.14,0.01,0.84,0.01,2,1608
Doc1523,0.95,0.02,0.02,0.02,0,1610
Doc1524,0.02,0.02,0.94,0.02,2,1612
Doc1525,0.96,0.01,0.01,0.01,0,1614
Doc1526,0.93,0.02,0.03,0.02,0,1619
Doc1527,0.19,0.02,0.78,0.02,2,1623
Doc1528,0.96,0.01,0.01,0.01,0,1627
Doc1529,0.02,0.01,0.96,0.01,2,1628
Doc1530,0.96,0.01,0.01,0.01,0,1630
Doc1531,0.96,0.01,0.01,0.01,0,1632
Doc1532,0.95,0.02,0.02,0.02,0,1633
Doc1533,0.96,0.01,0.02,0.01,0,1634
Doc1534,0.96,0.01,0.02,0.01,0,1636
Doc1535,0.02,0.02,0.95,0.02,2,1638
Doc1536,0.02,0.02,0.95,0.02,2,1648
Doc1537,0.96,0.01,0.01,0.01,0,1649
Doc1538,0.01,0.01,0.96,0.01,2,1650
Doc1539,0.96,0.01,0.01,0.01,0,1655
Doc1540,0.01,0.01,0.96,0.01,2,1657
Doc1541,0.02,0.02,0.95,0.01,2,1659
Doc1542,0.02,0.01,0.95,0.01,2,1660
Doc1543,0.96,0.01,0.01,0.01,0,1661
Doc1544,0.96,0.01,0.01,0.01,0,1663
Doc1545,0.95,0.02,0.02,0.02,0,1665
Doc1546,0.95,0.02,0.02,0.02,0,1668
Doc1547,0.96,0.01,0.02,0.01,0,1669
Doc1548,0.96,0.01,0.01,0.01,0,1674
Doc1549,0.95,0.02,0.02,0.02,0,1677
Doc1550,0.02,0.01,0.95,0.01,2,1678
Doc1551,0.96,0.01,0.01,0.01,0,1682
Doc1552,0.95,0.02,0.02,0.02,0,1683
Doc1553,0.95,0.01,0.02,0.01,0,1684
Doc1554,0.95,0.01,0.02,0.01,0,1685
Doc1555,0.02,0.02,0.95,0.02,2,1686
Doc1556,0.96,0.01,0.02,0.01,0,1687
Doc1557,0.94,0.02,0.02,0.02,0,1688
Doc1558,0.02,0.02,0.95,0.02,2,1691
Doc1559,0.96,0.01,0.02,0.01,0,1692
Doc1560,0.95,0.02,0.02,0.02,0,1694
Doc1561,0.95,0.02,0.02,0.02,0,1698
Doc1562,0.96,0.01,0.02,0.01,0,1704
Doc1563,0.03,0.03,0.92,0.03,2,1705
Doc1564,0.95,0.02,0.02,0.02,0,1706
Doc1565,0.96,0.01,0.02,0.01,0,1707
Doc1566,0.95,0.02,0.02,0.02,0,1708
Doc1567,0.3,0.01,0.67,0.01,2,1710
Doc1568,0.96,0.01,0.01,0.01,0,1713
Doc1569,0.96,0.01,0.02,0.01,0,1715
Doc1570,0.02,0.02,0.95,0.02,2,1718
Doc1571,0.02,0.01,0.96,0.01,2,1719
Doc1572,0.96,0.01,0.02,0.01,0,1722
Doc1573,0.24,0.02,0.73,0.02,2,1725
Doc1574,0.02,0.01,0.95,0.01,2,1726
Doc1575,0.96,0.01,0.01,0.01,0,1730
Doc1576,0.95,0.02,0.02,0.02,0,1733
Doc1577,0.96,0.01,0.02,0.01,0,1734
Doc1578,0.96,0.01,0.01,0.01,0,1735
Doc1579,0.96,0.01,0.02,0.01,0,1737
Doc1580,0.31,0.02,0.66,0.02,2,1739
Doc1581,0.02,0.02,0.95,0.02,2,1742
Doc1582,0.38,0.02,0.59,0.02,2,1744
Doc1583,0.95,0.01,0.02,0.01,0,1750
Doc1584,0.02,0.02,0.95,0.02,2,1751
Doc1585,0.96,0.01,0.02,0.01,0,1752
Doc1586,0.96,0.01,0.01,0.01,0,1757
Doc1587,0.02,0.01,0.95,0.01,2,1760
Doc1588,0.29,0.02,0.67,0.02,2,1761
Doc1589,0.96,0.01,0.01,0.01,0,1762
Doc1590,0.96,0.01,0.01,0.01,0,1765
Doc1591,0.96,0.01,0.01,0.01,0,1770
Doc1592,0.96,0.01,0.02,0.01,0,1771
Doc1593,0.94,0.02,0.02,0.02,0,1774
Doc1594,0.96,0.01,0.02,0.01,0,1775
Doc1595,0.39,0.01,0.58,0.01,2,1777
Doc1596,0.96,0.01,0.02,0.01,0,1779
Doc1597,0.02,0.01,0.96,0.01,2,1780
Doc1598,0.94,0.02,0.02,0.02,0,1783
Doc1599,0.02,0.01,0.95,0.01,2,1784
Doc1600,0.15,0.01,0.82,0.01,2,1787
Doc1601,0.95,0.02,0.02,0.02,0,1788
Doc1602,0.95,0.02,0.02,0.02,0,1795
Doc1603,0.95,0.02,0.02,0.02,0,1796
Doc1604,0.02,0.02,0.95,0.02,2,1797
Doc1605,0.96,0.01,0.01,0.01,0,1798
Doc1606,0.02,0.01,0.95,0.01,2,1799
Doc1607,0.96,0.01,0.01,0.01,0,1800
Doc1608,0.96,0.01,0.02,0.01,0,1803
Doc1609,0.96,0.01,0.01,0.01,0,1806
Doc1610,0.01,0.01,0.96,0.01,2,1807
Doc1611,0.96,0.01,0.01,0.01,0,1809
Doc1612,0.31,0.02,0.66,0.02,2,1810
Doc1613,0.01,0.01,0.96,0.01,2,1812
Doc1614,0.02,0.02,0.95,0.02,2,1813
Doc1615,0.95,0.01,0.02,0.01,0,1814
Doc1616,0.94,0.02,0.02,0.02,0,1815
Doc1617,0.96,0.01,0.01,0.01,0,1816
Doc1618,0.15,0.02,0.81,0.02,2,1820
Doc1619,0.02,0.02,0.95,0.02,2,1821
Doc1620,0.96,0.01,0.01,0.01,0,1822
Doc1621,0.02,0.02,0.95,0.02,2,1824
Doc1622,0.94,0.02,0.02,0.02,0,1828
Doc1623,0.34,0.02,0.63,0.02,2,1829
Doc1624,0.95,0.02,0.02,0.02,0,1830
Doc1625,0.95,0.02,0.02,0.02,0,1831
Doc1626,0.96,0.01,0.01,0.01,0,1833
Doc1627,0.94,0.02,0.02,0.02,0,1835
Doc1628,0.97,0.01,0.01,0.01,0,1840
Doc1629,0.23,0.02,0.74,0.02,2,1841
Doc1630,0.93,0.02,0.02,0.02,0,1842
Doc1631,0.02,0.01,0.96,0.01,2,1846
Doc1632,0.25,0.01,0.73,0.01,2,1847
Doc1633,0.31,0.02,0.65,0.02,2,1849
Doc1634,0.95,0.01,0.02,0.01,0,1851
Doc1635,0.95,0.02,0.02,0.02,0,1852
Doc1636,0.96,0.01,0.02,0.01,0,1854
Doc1637,0.95,0.02,0.02,0.02,0,1856
Doc1638,0.96,0.01,0.01,0.01,0,1861
Doc1639,0.16,0.01,0.81,0.01,2,1863
Doc1640,0.43,0.02,0.53,0.02,2,1865
Doc1641,0.95,0.02,0.02,0.02,0,1867
Doc1642,0.95,0.01,0.02,0.01,0,1868
Doc1643,0.94,0.02,0.02,0.02,0,1870
Doc1644,0.02,0.02,0.94,0.02,2,1871
Doc1645,0.17,0.02,0.8,0.02,2,1872
Doc1646,0.02,0.01,0.96,0.01,2,1873
Doc1647,0.29,0.01,0.68,0.01,2,1874
Doc1648,0.95,0.02,0.02,0.02,0,1875
Doc1649,0.33,0.01,0.64,0.01,2,1876
Doc1650,0.03,0.02,0.93,0.02,2,1878
Doc1651,0.94,0.02,0.02,0.02,0,1883
Doc1652,0.95,0.02,0.02,0.02,0,1884
Doc1653,0.02,0.02,0.95,0.02,2,1885
Doc1654,0.95,0.02,0.02,0.02,0,1886
Doc1655,0.96,0.01,0.01,0.01,0,1887
Doc1656,0.38,0.02,0.59,0.02,2,1888
Doc1657,0.95,0.02,0.02,0.02,0,1890
Doc1658,0.96,0.01,0.02,0.01,0,1892
Doc1659,0.95,0.02,0.02,0.02,0,1896
Doc1660,0.96,0.01,0.01,0.01,0,1897
Doc1661,0.96,0.01,0.02,0.01,0,1902
Doc1662,0.68,0.01,0.3,0.01,0,1903
Doc1663,0.96,0.01,0.01,0.01,0,1904
Doc1664,0.94,0.02,0.02,0.02,0,1905
Doc1665,0.96,0.01,0.01,0.01,0,1908
Doc1666,0.96,0.01,0.01,0.01,0,1909
Doc1667,0.95,0.01,0.02,0.01,0,1910
Doc1668,0.03,0.02,0.93,0.02,2,1911
Doc1669,0.96,0.01,0.01,0.01,0,1913
Doc1670,0.97,0.01,0.01,0.01,0,1916
Doc1671,0.93,0.02,0.02,0.02,0,1917
Doc1672,0.86,0.05,0.05,0.05,0,1920
Doc1673,0.84,0.06,0.05,0.05,0,1922
Doc1674,0.83,0.05,0.05,0.06,0,1923
Doc1675,0.83,0.06,0.06,0.06,0,1924
Doc1676,0.84,0.05,0.05,0.06,0,1925
Doc1677,0.85,0.05,0.05,0.05,0,1926
Doc1678,0.85,0.05,0.05,0.05,0,1927
Doc1679,0.85,0.05,0.05,0.05,0,1928
Doc1680,0.83,0.06,0.06,0.06,0,1929
Doc1681,0.83,0.05,0.06,0.06,0,1930
Doc1682,0.79,0.08,0.07,0.07,0,1931
Doc1683,0.82,0.06,0.06,0.07,0,1932
Doc1684,0.84,0.05,0.06,0.05,0,1933
Doc1685,0.84,0.05,0.05,0.06,0,1934
Doc1686,0.84,0.05,0.06,0.05,0,1935
Doc1687,0.81,0.06,0.06,0.07,0,1936
Doc1688,0.83,0.05,0.06,0.06,0,1937
Doc1689,0.78,0.08,0.07,0.07,0,1938
Doc1690,0.86,0.04,0.05,0.04,0,1939
Doc1691,0.84,0.05,0.05,0.05,0,1940
Doc1692,0.81,0.06,0.06,0.06,0,1941
Doc1693,0.85,0.05,0.05,0.05,0,1942
Doc1694,0.83,0.05,0.05,0.06,0,1943
Doc1695,0.82,0.06,0.06,0.06,0,1944
Doc1696,0.84,0.05,0.06,0.05,0,1946
Doc1697,0.84,0.05,0.05,0.05,0,1947
Doc1698,0.85,0.05,0.05,0.05,0,1948
Doc1699,0.85,0.05,0.05,0.05,0,1949
Doc1700,0.86,0.05,0.05,0.05,0,1950
Doc1701,0.84,0.05,0.05,0.05,0,1951
Doc1702,0.86,0.05,0.05,0.05,0,1952
Doc1703,0.83,0.05,0.06,0.06,0,1953
Doc1704,0.85,0.05,0.05,0.05,0,1954
Doc1705,0.85,0.05,0.05,0.05,0,1955
Doc1706,0.85,0.05,0.05,0.05,0,1956
Doc1707,0.83,0.06,0.06,0.06,0,1957
Doc1708,0.81,0.06,0.06,0.06,0,1959
Doc1709,0.82,0.06,0.06,0.06,0,1960
Doc1710,0.81,0.06,0.07,0.06,0,1961
Doc1711,0.84,0.05,0.05,0.05,0,1962
Doc1712,0.83,0.06,0.06,0.06,0,1963
Doc1713,0.85,0.05,0.05,0.05,0,1964
Doc1714,0.85,0.05,0.05,0.05,0,1965
Doc1715,0.5,0.02,0.47,0.02,0,1966
Doc1716,0.82,0.06,0.06,0.06,0,1967
Doc1717,0.81,0.07,0.06,0.06,0,1968
Doc1718,0.81,0.06,0.06,0.06,0,1969
Doc1719,0.84,0.05,0.05,0.06,0,1970
Doc1720,0.82,0.06,0.06,0.06,0,1971
Doc1721,0.79,0.08,0.07,0.07,0,1972
Doc1722,0.84,0.05,0.05,0.06,0,1973
Doc1723,0.81,0.06,0.06,0.06,0,1974
Doc1724,0.85,0.05,0.05,0.05,0,1975
Doc1725,0.82,0.06,0.06,0.06,0,1976
Doc1726,0.84,0.05,0.05,0.05,0,1977
Doc1727,0.84,0.05,0.05,0.05,0,1978
Doc1728,0.81,0.06,0.06,0.07,0,1979
Doc1729,0.82,0.06,0.06,0.06,0,1980
Doc1730,0.85,0.05,0.05,0.05,0,1981
Doc1731,0.65,0.02,0.32,0.02,0,1982
Doc1732,0.83,0.06,0.06,0.06,0,1983
Doc1733,0.84,0.05,0.05,0.05,0,1984
Doc1734,0.67,0.21,0.06,0.06,0,1985
