,Topic0,Topic1,Topic2,Topic3,dominant_topic,merge_col
Doc1144,0.94,0.02,0.02,0.02,0,1144
Doc1145,0.96,0.01,0.01,0.01,0,1145
Doc1146,0.02,0.01,0.95,0.01,2,1146
Doc1147,0.02,0.02,0.94,0.02,2,1147
Doc1148,0.96,0.01,0.01,0.01,0,1148
Doc1149,0.95,0.02,0.02,0.02,0,1149
Doc1150,0.02,0.02,0.95,0.02,2,1150
Doc1151,0.95,0.02,0.02,0.02,0,1152
Doc1152,0.95,0.02,0.02,0.02,0,1153
Doc1153,0.95,0.01,0.02,0.01,0,1154
Doc1154,0.01,0.01,0.96,0.01,2,1155
Doc1155,0.94,0.02,0.02,0.02,0,1156
Doc1156,0.01,0.01,0.96,0.01,2,1157
Doc1157,0.95,0.02,0.02,0.02,0,1158
Doc1158,0.95,0.02,0.02,0.02,0,1159
Doc1159,0.96,0.01,0.02,0.01,0,1160
Doc1160,0.95,0.02,0.02,0.02,0,1161
Doc1161,0.96,0.01,0.02,0.01,0,1162
Doc1162,0.02,0.02,0.95,0.02,2,1163
Doc1163,0.01,0.01,0.96,0.01,2,1164
Doc1164,0.95,0.01,0.02,0.01,0,1165
Doc1165,0.96,0.01,0.01,0.01,0,1166
Doc1166,0.95,0.02,0.02,0.02,0,1167
Doc1167,0.02,0.02,0.95,0.02,2,1168
Doc1168,0.95,0.02,0.02,0.02,0,1169
Doc1169,0.96,0.01,0.01,0.01,0,1170
Doc1170,0.95,0.02,0.02,0.02,0,1171
Doc1171,0.95,0.02,0.02,0.02,0,1172
Doc1172,0.95,0.02,0.02,0.02,0,1173
Doc1173,0.95,0.02,0.02,0.02,0,1174
Doc1174,0.95,0.02,0.02,0.02,0,1175
Doc1175,0.48,0.01,0.49,0.01,2,1176
Doc1176,0.96,0.01,0.01,0.01,0,1177
Doc1177,0.02,0.02,0.95,0.02,2,1178
Doc1178,0.02,0.02,0.94,0.02,2,1179
Doc1179,0.95,0.02,0.02,0.02,0,1180
Doc1180,0.94,0.02,0.02,0.02,0,1181
Doc1181,0.02,0.02,0.95,0.02,2,1182
Doc1182,0.95,0.02,0.02,0.02,0,1183
Doc1183,0.01,0.01,0.96,0.01,2,1184
Doc1184,0.02,0.02,0.95,0.02,2,1185
Doc1185,0.01,0.01,0.96,0.01,2,1186
Doc1186,0.02,0.02,0.95,0.02,2,1187
Doc1187,0.37,0.01,0.6,0.01,2,1188
Doc1188,0.02,0.02,0.94,0.02,2,1189
Doc1189,0.94,0.02,0.02,0.02,0,1190
Doc1190,0.43,0.01,0.55,0.01,2,1191
Doc1191,0.96,0.01,0.01,0.01,0,1192
Doc1192,0.94,0.03,0.02,0.02,0,1193
Doc1193,0.92,0.04,0.02,0.02,0,1194
Doc1194,0.96,0.01,0.01,0.01,0,1195
Doc1195,0.95,0.02,0.02,0.02,0,1196
Doc1196,0.95,0.02,0.02,0.02,0,1197
Doc1197,0.34,0.01,0.63,0.01,2,1198
Doc1198,0.96,0.01,0.01,0.01,0,1199
Doc1199,0.96,0.01,0.01,0.01,0,1200
Doc1200,0.02,0.01,0.96,0.01,2,1201
Doc1201,0.95,0.02,0.02,0.02,0,1202
Doc1202,0.97,0.01,0.01,0.01,0,1203
Doc1203,0.02,0.02,0.95,0.02,2,1204
Doc1204,0.96,0.01,0.01,0.01,0,1205
Doc1205,0.95,0.02,0.02,0.02,0,1206
Doc1206,0.02,0.02,0.95,0.02,2,1207
Doc1207,0.95,0.02,0.02,0.02,0,1208
Doc1208,0.95,0.02,0.02,0.02,0,1209
Doc1209,0.95,0.02,0.02,0.02,0,1210
Doc1210,0.95,0.02,0.02,0.02,0,1211
Doc1211,0.3,0.02,0.67,0.02,2,1212
Doc1212,0.95,0.02,0.02,0.02,0,1213
Doc1213,0.02,0.02,0.95,0.02,2,1214
Doc1214,0.95,0.02,0.02,0.02,0,1215
Doc1215,0.01,0.01,0.49,0.49,2,1218
Doc1216,0.02,0.01,0.96,0.01,2,1219
Doc1217,0.02,0.02,0.95,0.02,2,1220
Doc1218,0.01,0.01,0.96,0.01,2,1221
Doc1219,0.54,0.01,0.43,0.01,0,1222
Doc1220,0.23,0.01,0.75,0.01,2,1223
Doc1221,0.96,0.01,0.01,0.01,0,1224
Doc1222,0.02,0.01,0.96,0.01,2,1225
Doc1223,0.09,0.02,0.88,0.02,2,1226
Doc1224,0.43,0.01,0.55,0.01,2,1227
Doc1225,0.02,0.02,0.95,0.02,2,1228
Doc1226,0.95,0.02,0.02,0.02,0,1229
Doc1227,0.95,0.02,0.02,0.02,0,1230
Doc1228,0.95,0.02,0.02,0.02,0,1231
Doc1229,0.95,0.02,0.02,0.02,0,1232
Doc1230,0.96,0.01,0.01,0.01,0,1233
Doc1231,0.01,0.01,0.96,0.01,2,1234
Doc1232,0.94,0.02,0.02,0.02,0,1235
Doc1233,0.95,0.02,0.02,0.02,0,1236
Doc1234,0.02,0.02,0.93,0.02,2,1237
Doc1235,0.02,0.01,0.96,0.01,2,1238
Doc1236,0.34,0.02,0.63,0.02,2,1239
Doc1237,0.96,0.01,0.01,0.01,0,1240
Doc1238,0.95,0.02,0.02,0.02,0,1241
Doc1239,0.02,0.02,0.93,0.02,2,1242
Doc1240,0.02,0.02,0.95,0.02,2,1243
Doc1241,0.18,0.01,0.79,0.01,2,1244
Doc1242,0.01,0.01,0.96,0.01,2,1245
Doc1243,0.02,0.02,0.95,0.02,2,1246
Doc1244,0.29,0.01,0.69,0.01,2,1247
Doc1245,0.93,0.02,0.02,0.02,0,1248
Doc1246,0.25,0.02,0.72,0.02,2,1249
Doc1247,0.02,0.02,0.95,0.02,2,1250
Doc1248,0.02,0.01,0.95,0.01,2,1251
Doc1249,0.96,0.01,0.02,0.01,0,1252
Doc1250,0.02,0.01,0.96,0.01,2,1253
Doc1251,0.02,0.02,0.95,0.02,2,1254
Doc1252,0.95,0.02,0.02,0.02,0,1255
Doc1253,0.96,0.01,0.01,0.01,0,1256
Doc1254,0.02,0.02,0.95,0.02,2,1257
Doc1255,0.96,0.01,0.01,0.01,0,1258
Doc1256,0.96,0.01,0.01,0.01,0,1259
Doc1257,0.95,0.02,0.02,0.02,0,1260
Doc1258,0.96,0.01,0.01,0.01,0,1261
Doc1259,0.01,0.01,0.97,0.01,2,1262
Doc1260,0.96,0.01,0.01,0.01,0,1263
Doc1261,0.95,0.02,0.02,0.02,0,1264
Doc1262,0.94,0.02,0.02,0.02,0,1265
Doc1263,0.96,0.01,0.01,0.01,0,1266
Doc1264,0.17,0.01,0.8,0.01,2,1267
Doc1265,0.95,0.02,0.02,0.02,0,1268
Doc1266,0.02,0.02,0.93,0.02,2,1269
Doc1267,0.02,0.02,0.95,0.02,2,1270
Doc1268,0.96,0.01,0.02,0.01,0,1271
Doc1269,0.02,0.01,0.96,0.01,2,1272
Doc1270,0.34,0.01,0.63,0.01,2,1273
Doc1271,0.96,0.01,0.01,0.01,0,1274
Doc1272,0.02,0.02,0.95,0.02,2,1275
Doc1273,0.95,0.02,0.02,0.02,0,1276
Doc1274,0.95,0.02,0.02,0.02,0,1277
Doc1275,0.56,0.02,0.41,0.02,0,1278
Doc1276,0.02,0.02,0.95,0.02,2,1279
Doc1277,0.02,0.02,0.94,0.02,2,1280
Doc1278,0.02,0.01,0.95,0.01,2,1281
